constit,admdistrict,nqborehole98,nqborehole08,nqclinic98,nqclinic08,nqschool98,nqschool08,cqborehole,cqclinic,cqschool,nqborehole98_p10k,nqborehole08_p10k,nqclinic98_p10k,nqclinic08_p10k,nqschool98_p10k,nqschool08_p10k,avediskern,avediscat3,elf_ed,pop,popden,urbanprop,area_sqkm,avgwinmargpct,coethnic_share,prescoethavg,ngowatern_p10k,ngohealthn_p10k,ngoedun_p10k,ngoalln_p10k,distblantyre_km,distlilongwe_km,dist_closest
Balaka Central East,Balaka,9,69,2,4,11,21,60,2,10,1.436598136,11.01391904,0.31924403,0.63848806,1.755842166,3.352062316,0.32,"[0.0425,0.401)",0.717909475,62648,0.222586687,0.09,281.4543889,69.34191788,0.234577002,0.200573593,0,0.478866045,0,1.915464181,91.81745218,170.3471176,170.3471176
Balaka North,Balaka,0,154,6,8,58,61,154,2,3,0,12.43670605,0.484546989,0.646062652,4.683954226,4.926227721,0.439,"[0.4010,0.490)",0.600462715,123827,0.169002822,0.002,732.6919072,70.97565497,0.586780016,0.387238145,0,0,0,0.242273494,101.5497444,176.3699008,176.3699008
Balaka South,Balaka,5,63,4,6,39,40,58,2,1,0.598408234,7.53994375,0.478726587,0.718089881,4.667584226,4.787265873,0.398,"[0.0425,0.401)",0.77400902,83555,0.125293035,0.009,666.8766537,15.34805365,0.21815336,0.283493996,0.239363294,0.598408234,0.239363294,4.667584226,71.03924017,188.8845202,188.8845202
Balaka West,Balaka,6,46,2,3,19,25,40,1,6,1.307331953,10.02287831,0.435777318,0.653665977,4.139884519,5.447216472,0.345,"[0.0425,0.401)",0.723488008,45895,0.106672661,0.022,430.2414458,51.57967681,0.267260595,0.222622275,0,0.217888659,0,0.653665977,67.21756286,180.0525463,180.0525463
Blantyre Bangwe,Blantyre,2,2,1,1,1,4,0,0,3,0.48651147,0.48651147,0.243255735,0.243255735,0.243255735,0.973022939,0.118,"[0.0425,0.401)",0.676410252,41109,2.076758397,1,19.79479176,23.45826,0.023999319,0.342247844,0,0.243255735,0,0.243255735,11.84312536,247.2145339,247.2145339
Blantyre City Central,Blantyre,2,2,1,2,2,7,0,1,5,0.304076141,0.304076141,0.15203807,0.304076141,0.304076141,1.064266492,0.137,"[0.0425,0.401)",0.816770089,65773,9.102264577,1,7.226003973,14.65965367,0.115362292,0.224987507,0,0,0,0.15203807,0,241.2610508,241.2610508
Blantyre City East,Blantyre,0,0,0,3,9,10,0,3,1,0,0,0,0.620103764,1.860311292,2.067012547,0.14,"[0.0425,0.401)",0.765236337,48379,1.58202298,1,30.58046603,38.31533346,0.04229672,0.305696934,0,0,0,0.206701255,0,242.5952755,242.5952755
Blantyre City South,Blantyre,0,4,9,9,24,25,4,0,1,0,0.532885709,1.198992846,1.198992846,3.197314256,3.330535683,0.0585,"[0.0425,0.401)",0.840742878,75063,3.001312976,1,25.01005413,40.5578425,0.136066564,0.202962399,0,0.266442855,0.133221427,1.065771419,0,242.7092157,242.7092157
Blantyre City South East,Blantyre,1,51,9,9,28,32,50,0,4,0.089976606,4.58880691,0.809789455,0.809789455,2.51934497,2.879251395,0.193,"[0.0425,0.401)",0.758941825,111140,2.528699464,1,43.95144682,33.35626898,0.086216709,0.288908035,0,0,0,1.079719273,0,247.6654795,247.6654795
Blantyre City West,Blantyre,0,0,5,7,22,27,0,2,5,0,0,0.348237916,0.487533083,1.532246831,1.880484747,0.072,"[0.0425,0.401)",0.81573154,143580,3.287819679,1,43.67027818,17.01510423,0.257157717,0.21041441,0.20894275,0.417885499,0.348237916,3.273436412,0,237.7810127,237.7810127
Blantyre Kabula,Blantyre,4,6,0,1,6,9,2,1,3,0.549586436,0.824379654,0,0.137396609,0.824379654,1.236569481,0.12303507,"[0.0425,0.401)",0.811887687,72782,2.030817358,1,35.83877187,28.60177621,NA,0.231876329,0,0,0,0,7.461086997,235.7416524,235.7416524
Blantyre Malabada,Blantyre,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0.340860673,0.0425,"[0.0425,0.401)",0.784623477,58675,3.633218668,1,16.14959224,22.05340677,0.216869016,0.216869012,0,0.170430337,0,0.51129101,5.698927436,238.4448156,238.4448156
Blantyre North,Blantyre,19,127,0,4,15,31,108,4,16,2.889909652,19.31676452,0,0.608402032,2.28150762,4.715115748,0.3765,"[0.0425,0.401)",0.786653994,65746,0.178435867,0,368.4573123,67.99658976,0.177752669,0.253380507,0,0.152100508,0.152100508,3.04201016,36.24301497,207.7949605,207.7949605
Blantyre North East,Blantyre,8,100,3,3,23,27,92,0,4,1.353134197,16.91417746,0.507425324,0.507425324,3.890260817,4.566827915,0.204,"[0.0425,0.401)",0.758319801,59122,0.328994637,0.251,179.7050568,42.56715816,0.314334309,0.2517533,0,0.169141775,0,0.507425324,20.25631903,222.0106694,222.0106694
Blantyre Rural East,Blantyre,4,68,0,2,30,30,64,2,0,1.077063924,18.3100867,0,0.538531962,8.077979428,8.077979428,0.373,"[0.0425,0.401)",0.718510661,37138,0.311921176,0.206,119.0621311,37.71613033,0.348763719,0.348049909,0,0,0.269265981,1.077063924,17.87949773,230.4641057,230.4641057
Blantyre South West,Blantyre,14,97,4,6,22,29,83,2,7,2.055045872,14.23853211,0.587155963,0.880733945,3.229357798,4.256880734,0.42,"[0.4010,0.490)",0.82531502,68125,0.299730092,0.176,227.2878228,17.19190126,0.213562466,0.224354267,0,0,0,0.733944954,14.93483348,247.3881906,247.3881906
Blantyre West,Blantyre,11,127,5,7,33,46,116,2,13,0.920756359,10.6305507,0.418525618,0.585935865,2.762269078,3.850435685,0.5125,"[0.4900,0.795]",0.770084327,119467,0.144829454,0.067,824.8805546,31.94280495,0.141265601,0.109918967,0.251115371,0.334820494,0.083705124,2.260038337,17.97025899,221.307457,221.307457
Chikwawa Central,Chikwawa,13,21,9,10,6,15,8,1,9,1.702350553,2.749950894,1.178550383,1.309500426,0.785700255,1.964250638,0.3545,"[0.0425,0.401)",0.666116988,76365,0.159823469,0.093,477.8084238,4.130583581,0.360537406,0.068867818,0.130950043,0.654750213,0.52380017,5.499901787,47.57437964,267.5281226,267.5281226
Chikwawa East,Chikwawa,3,12,2,4,14,20,9,2,6,0.472158393,1.888633574,0.314772262,0.629544525,2.203405836,3.147722623,0.375,"[0.0425,0.401)",0.717440883,63538,0.135960127,0.004,467.3281893,26.0710948,0.333633566,0.103837803,0,0,0,0.314772262,55.44123265,286.1628757,286.1628757
Chikwawa Mkombezi,Chikwawa,7,26,4,4,12,16,19,0,4,1.417491849,5.264969726,0.809995343,0.809995343,2.429986028,3.23998137,0.437,"[0.4010,0.490)",0.541957078,49383,0.14670835,0,336.6066066,7.983478647,0.617591033,0.016950641,0,0,0,0.202498836,66.60742308,282.8249322,282.8249322
Chikwawa North,Chikwawa,6,23,3,4,21,22,17,1,1,1.010305112,3.872836263,0.505152556,0.673536741,3.536067893,3.704452078,0.488,"[0.4010,0.490)",0.661210609,59388,0.119021723,0.028,498.9677406,2.4389469,0.5320523,0.093808733,0,0.168384185,0.336768371,2.18899441,28.95181791,245.0010887,245.0010887
Chikwawa South,Chikwawa,10,107,5,8,34,43,97,3,9,0.98367106,10.52528035,0.49183553,0.786936848,3.344481605,4.22978556,0.411,"[0.4010,0.490)",0.471548821,101660,0.148224174,0,685.8530399,23.39420027,0.695341324,0.010585668,0,0,0,0.885303954,80.97773799,302.9559812,302.9559812
Chikwawa West,Chikwawa,8,49,8,12,38,42,41,4,4,0.9504687,5.821620787,0.9504687,1.42570305,4.514726324,4.989960674,0.638,"[0.4900,0.795]",0.7707704,84169,0.103709937,0,811.5808646,11.50822156,0.257641436,0.009595748,0,0,0,0.118808587,61.01574479,228.7424071,228.7424071
Chiradzulu Central,Chiradzulu,2,22,2,3,21,25,20,1,4,0.22912657,2.520392265,0.22912657,0.343689854,2.40582898,2.864082119,0.344,"[0.0425,0.401)",0.714701205,87288,0.494779279,0.145,176.418059,58.41220592,0.236180895,0.361222625,0,0.572816424,0.114563285,2.864082119,17.54065861,247.6527729,247.6527729
Chiradzulu East,Chiradzulu,6,72,4,4,16,25,66,0,9,0.78586491,9.430378918,0.52390994,0.52390994,2.09563976,3.274437124,0.416,"[0.4010,0.490)",0.461248214,76349,0.361465645,0,211.2206265,41.87168377,0.708022567,0.427262008,0,0,0,0,28.30174486,247.4392565,247.4392565
Chiradzulu North,Chiradzulu,1,9,0,2,6,9,8,2,3,0.392433875,3.531904874,0,0.78486775,2.354603249,3.531904874,0.336,"[0.0425,0.401)",0.740717331,25482,0.390123447,0,65.31778649,37.95488772,0.333969194,0.322694421,0,0.392433875,0,0.392433875,25.13838556,235.7781184,235.7781184
Chiradzulu South,Chiradzulu,4,100,2,2,22,25,96,0,3,0.621484727,15.53711818,0.310742364,0.310742364,3.418165999,3.884279544,0.351,"[0.0425,0.401)",0.342200164,64362,0.347103641,0,185.4258857,40.26027642,0.796218483,0.464512706,0,0,0,0,30.30482669,262.9697567,262.9697567
