eacode,constit,admdistrict,nqborehole98,nqborehole08,nqclinic98,nqclinic08,nqschool98,nqschool08,qnewborehole,qnewclinic,qnewschool,avediskern,avediscat3,mever,avematchshare,total,total1k,area_sqkm,popden,elf_ed,elf,match_pres,urbancontains,distlilongwe_km,distblantyre_km
10101001,Chitipa North,Chitipa,1,1,0,0,0,1,0,0,1,0.603,"[0.4910,0.795]",1,0.264,971,0.971,9.81505958093008,0.0989296083221522,0.384617348223735,0.224,0,0,11390.209513662,11273.8069684857
10101002,Chitipa North,Chitipa,1,1,0,0,0,1,0,0,1,0.603,"[0.4910,0.795]",1,0.648,827,0.827,9.44174452755068,0.087589745474138,0.384617348223735,0.234,0,0,12512.8629714554,12433.5861282807
10101003,Chitipa North,Chitipa,0,0,1,1,0,1,0,0,1,0.603,"[0.4910,0.795]",1,0.705,1084,1.084,5.67455278821196,0.191028269620092,0.384617348223735,0.207,0,0,10761.1330825289,10997.1858156856
10101004,Chitipa North,Chitipa,0,0,0,0,0,0,0,0,0,0.603,"[0.4910,0.795]",1,0.418,344,0.344,4.24563763519983,0.0810243429980828,0.384617348223735,0.26,0,0,11987.7056236738,12186.1949734013
10101005,Chitipa North,Chitipa,0,1,0,0,0,0,1,0,0,0.603,"[0.4910,0.795]",1,0.51,1101,1.101,7.22188656792591,0.152453239142498,0.384617348223735,0.252,0,0,3125.29657981023,2915.2390637878498
10101006,Chitipa North,Chitipa,0,2,1,1,0,2,1,0,1,0.603,"[0.4910,0.795]",1,0.063,1159,1.159,8.11609478241652,0.142802669395997,0.384617348223735,0.059,0,0,10475.2506071476,10285.6685117096
10101007,Chitipa North,Chitipa,0,2,0,0,0,1,1,0,1,0.603,"[0.4910,0.795]",1,0.21,830,0.83,11.778019326737,0.0704702528476787,0.384617348223735,0.168,0,0,7790.21339170198,7590.34661897374
10101008,Chitipa North,Chitipa,0,1,0,0,0,1,1,0,1,0.603,"[0.4910,0.795]",1,0.104,432,0.432,4.67510687983744,0.0924043045653368,0.384617348223735,0.104,0,0,11893.8361482479,11665.0055073392
10101009,Chitipa North,Chitipa,0,3,0,0,0,1,1,0,1,0.603,"[0.4910,0.795]",1,0.385,754,0.754,4.16040354047952,0.181232419563102,0.384617348223735,0.238,0,0,4720.33618628576,4555.15503183116
10101010,Chitipa North,Chitipa,0,1,1,1,0,0,1,0,0,0.603,"[0.4910,0.795]",1,0.69,1323,1.323,14.810159125,0.0893305729421052,0.384617348223735,0.213,0,0,3918.49221728359,4116.26598293605
10101011,Chitipa Central,Chitipa,0,0,0,1,0,1,0,1,1,0.454,"[0.4010,0.491)",1,0.895,810,0.81,12.4556268781765,0.065030849745443,0.551416377082344,0.108,0,0,3889.07925884834,3850.40700120133
10101012,Chitipa Central,Chitipa,0,0,0,0,0,0,0,0,0,0.454,"[0.4010,0.491)",1,0.476,340,0.34,8.79394599682365,0.038662962010775,0.551416377082344,0.266,0,0,694.268321948238,814.783484324709
10101013,Chitipa Central,Chitipa,0,1,0,1,0,3,1,1,1,0.454,"[0.4010,0.491)",1,0.289,873,0.873,21.4718606220868,0.0406578645123096,0.551416377082344,0.217,0,0,2533.63236618487,2361.14955759238
10101014,Chitipa Central,Chitipa,0,0,0,0,0,0,0,0,0,0.454,"[0.4010,0.491)",1,0.735,934,0.934,11.5369140309695,0.0809575244725573,0.551416377082344,0.196,0,0,9338.53498358554,9163.12420431136
10101015,Chitipa Central,Chitipa,0,1,0,0,0,1,1,0,1,0.454,"[0.4010,0.491)",1,1,342,0.342,9.49878903545223,0.03600458950331,0.551416377082344,0,0,0,10505.5770088355,10715.1573072723
10101016,Chitipa Central,Chitipa,0,1,0,1,0,1,1,1,1,0.454,"[0.4010,0.491)",1,0.898,561,0.561,10.1727608710786,0.0551472709434208,0.551416377082344,0.183,0,0,11640.374802188,11809.2295657152
10101017,Chitipa North,Chitipa,0,2,0,1,0,1,1,1,1,0.603,"[0.4910,0.795]",1,0.577,1257,1.257,15.8936987983547,0.0790879464841828,0.384617348223735,0.255,0,0,6760.95389881468,6524.96509854931
10101018,Chitipa North,Chitipa,0,0,0,1,0,1,0,1,1,0.603,"[0.4910,0.795]",1,0.793,600,0.6,8.97428703693687,0.0668576787805523,0.384617348223735,0.18,0,0,10291.7332909916,10489.0609829934
10101019,Chitipa North,Chitipa,0,3,0,0,0,0,1,0,0,0.603,"[0.4910,0.795]",1,0.656,1038,1.038,12.6502284153605,0.0820538543588363,0.384617348223735,0.264,0,0,6401.97739724688,6573.09878936308
10101020,Chitipa North,Chitipa,0,0,0,1,0,0,0,1,0,0.603,"[0.4910,0.795]",1,0.421,963,0.963,16.1406662405943,0.0596629646908888,0.384617348223735,0.271,0,0,8808.24428718199,8637.24898855159
10101021,Chitipa North,Chitipa,0,2,0,1,0,2,1,1,1,0.603,"[0.4910,0.795]",1,0.447,1188,1.188,20.0932943006406,0.0591242024441021,0.384617348223735,0.266,0,0,12450.9381130698,12444.4337997579
10101022,Chitipa North,Chitipa,0,4,0,1,0,1,1,1,1,0.603,"[0.4910,0.795]",1,0.36,771,0.771,25.0429994451835,0.030787046962471,0.384617348223735,0.247,0,0,6753.51247364806,6590.54763777328
10101023,Chitipa Central,Chitipa,0,1,0,0,0,1,1,0,1,0.454,"[0.4010,0.491)",1,0.061,617,0.617,8.64254330220065,0.0713910221130039,0.551416377082344,0.062,0,0,11346.1174084769,11465.6177233632
10101024,Chitipa Central,Chitipa,0,0,0,0,0,0,0,0,0,0.454,"[0.4010,0.491)",1,0.984,850,0.85,17.3122323437498,0.0490982319970348,0.551416377082344,0.024,0,0,10685.7361916183,10854.7276055478
10101025,Chitipa Central,Chitipa,0,0,0,0,0,1,0,0,1,0.454,"[0.4010,0.491)",1,0.227,907,0.907,11.107729284163,0.0816548528323575,0.551416377082344,0.178,0,0,13421.4907119898,13421.5339505883
10101026,Chitipa Central,Chitipa,0,0,0,0,0,0,0,0,0,0.454,"[0.4010,0.491)",1,0.8,1134,1.134,10.1209966229273,0.112044301786558,0.551416377082344,0.166,0,0,5881.53297889814,6036.37908109652
10101027,Chitipa Central,Chitipa,0,0,0,0,0,0,0,0,0,0.454,"[0.4010,0.491)",1,0.321,1089,1.089,9.75408487545513,0.111645532503036,0.551416377082344,0.227,0,0,12246.5473719981,12010.5275886541
10101028,Chitipa Central,Chitipa,0,0,0,0,0,2,0,0,1,0.454,"[0.4010,0.491)",1,0.28,502,0.502,7.93340906204499,0.0632767069079632,0.551416377082344,0.213,0,0,6789.38035889364,6732.98978319302
10101029,Chitipa Central,Chitipa,0,0,1,1,0,1,0,0,1,0.454,"[0.4010,0.491)",1,0.961,696,0.696,7.93735740832257,0.0876866145992395,0.551416377082344,0.072,0,0,11864.0167480783,12083.4451026929
10101030,Chitipa Central,Chitipa,0,0,0,0,0,1,0,0,1,0.454,"[0.4010,0.491)",1,0.03,681,0.681,6.67265604250206,0.102058310163496,0.551416377082344,0.029,0,0,8052.14149222074,8212.52294290115
10101031,Chitipa Central,Chitipa,0,0,0,0,0,1,0,0,1,0.454,"[0.4010,0.491)",1,0.003,610,0.61,9.79424840301814,0.06228145079637,0.551416377082344,0.006,0,0,4003.71315334275,3902.14044211094
10101032,Chitipa Central,Chitipa,0,1,0,0,0,2,1,0,1,0.454,"[0.4010,0.491)",1,0.532,419,0.419,9.91963257756016,0.0422394677145449,0.551416377082344,0.351,0,0,7110.09616325095,6878.84500261758
10101033,Chitipa Central,Chitipa,0,2,0,0,0,1,1,0,1,0.454,"[0.4010,0.491)",1,0.998,757,0.757,7.08445462209109,0.106853673342686,0.551416377082344,0.002,0,0,11022.658618251,11222.9920217689
